Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,Run 1,,,,,
Time (s),Force (N),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²),Angular Velocity - x (rad/s),Angular Velocity - y (rad/s),Angular Velocity - z (rad/s),,,,,acceleration resultant
0,0.05,9.6,1,-1.3,9.7,0,-0.1,0,,,,,0
0.05,0.05,9.7,1.1,-1.5,9.9,0,0,0,,,,,0.2
0.1,0.05,9.6,1,-1.3,9.8,0,0.2,0,,,,,0.1
0.15,0.05,9.6,1.1,-1.2,9.7,0.1,0,0,,,,,0
0.2,0.03,9.7,1.2,-1.3,9.8,0.1,0,0,,,,,0.1
0.25,0.04,9.7,1.2,-1.3,9.9,0,0,0,,,,,0.2
0.3,0.03,9.7,1.2,-1.4,9.9,0,0,0,,,,,0.2
0.35,0.04,9.7,1.3,-1.4,9.9,0.1,-0.1,0,,,,,0.2
0.4,0.03,9.7,1.2,-1.4,9.9,0.1,0.1,0,,,,,0.2
0.45,0.04,9.7,1.2,-1.2,9.8,0.1,0.1,0,,,,,0.1
0.5,0.04,9.6,1.1,-1.2,9.8,0,0,0,,,,,0.1
0.55,0.04,9.7,1.2,-1.2,9.8,0,-0.1,0,,,,,0.1
0.6,0.04,9.6,1.2,-1.4,9.8,0,0,0,,,,,0.1
0.65,0.04,9.7,1.2,-1.3,9.8,0,-0.1,0,,,,,0.1
0.7,0.04,9.7,1.2,-1.3,9.8,0,0,0,,,,,0.1
0.75,0.03,9.7,1.2,-1.2,9.9,0,0,0,,,,,0.2
0.8,0.04,9.7,1.1,-1.4,9.8,0,0,0,,,,,0.1
0.85,0.03,9.3,1.2,-1.5,9.5,0,0.1,0,,,,,-0.2
0.9,0.03,9.1,1.2,-1.7,9.3,0.1,0,0,,,,,-0.4
0.95,0.04,8.6,1.1,-1.2,8.7,0,-0.1,-0.1,,,,,-1
1,0.03,7.7,1.4,-1.7,8,0.1,-0.7,-0.4,,,,,-1.7
1.05,0.04,4.3,1.4,-2.4,5.1,0,-0.5,-0.6,,,,,-4.6
1.1,0.05,2.9,1,0.3,3.1,-0.2,-1.1,-0.8,,,,,-6.6
1.15,0.04,5.1,1.3,-0.3,5.2,-0.3,-1.5,-1,,,,,-4.5
1.2,0.03,7.7,2.2,-2.7,8.4,0,-2.5,-0.9,,,,,-1.3
1.25,0.01,12.8,4,-6.2,14.7,-0.1,-1.2,-0.8,,,,,5
1.3,0.01,19.4,6.6,-8.5,22.2,0.4,-1.8,-0.5,,,,,12.5
1.35,-0.03,26.6,7.3,-16,31.9,0.3,-0.2,-0.2,,,,,22.2
1.4,-0.04,32.7,9.2,-17.3,38.1,0.7,3,0.8,,,,,28.4
1.45,0.03,15.5,7.1,-8,18.9,0.1,3.7,1.7,,,,,9.2
1.5,0.06,2.3,4.7,-4.1,6.7,-0.8,2.5,1.3,,,,,-3
1.55,0.09,-18,0.7,-1.3,18.1,0.8,2.4,0.5,,,,,8.4
1.6,0.04,10.4,-0.7,4.8,11.4,1.4,-4.1,0.2,,,,,1.7
1.65,0.06,-0.5,-2.6,4.6,5.3,-0.9,4.8,0.2,,,,,-4.4
1.7,0.07,-2.5,-0.3,-0.6,2.6,-0.1,-1.9,0,,,,,-7.1
1.75,0.06,1.3,0.4,-1.6,2.1,0.4,-1,0,,,,,-7.6
1.8,0.07,-0.3,-1.2,1.5,1.9,0.1,1.1,-0.1,,,,,-7.8
1.85,0.07,-0.8,-0.3,-0.1,0.8,0.6,-0.7,-0.1,,,,,-8.9
1.9,0.07,-0.2,0.9,-0.8,1.2,0.4,-0.6,-0.2,,,,,-8.5
1.95,0.07,-1.3,2.6,-0.7,3,0.2,0.3,-0.5,,,,,-6.7
2,-0.04,14.4,11.4,-8.6,20.3,1.2,-7.7,-2.3,,,,,10.6
2.05,-0.05,46.7,9,-29.2,55.8,-1.7,0.1,1.5,,,,,46.1
2.1,0.01,17.1,1.1,-3.7,17.5,-0.3,1.4,0.2,,,,,7.8
2.15,0.02,15,4,-7.1,17,-1,0.2,0.9,,,,,7.3
2.2,0.06,0.5,0,1.4,1.5,-0.2,3.5,0.5,,,,,-8.2
2.25,0.07,-2.2,-0.7,-0.7,2.4,0,-0.4,0.2,,,,,-7.3
2.3,0.05,6.6,2.2,-1,7,0.6,-4.1,-0.2,,,,,-2.7
2.35,0.03,10.8,0.8,-4.5,11.7,-0.1,1,-0.1,,,,,2
2.4,0.03,11.8,2.6,-3.1,12.4,0,-0.6,0.1,,,,,2.7
2.45,0.04,8.7,2.1,-3.1,9.4,-0.3,1,0.2,,,,,-0.3
2.5,0.05,7.8,1.8,-2.2,8.3,-0.2,-0.3,0.1,,,,,-1.4
2.55,0.05,8.1,1.7,-3.1,8.8,-0.3,-0.1,0.1,,,,,-0.9
2.6,0.06,7.3,1.7,-3.5,8.3,-0.3,-0.1,0.1,,,,,-1.4
2.65,0.06,4.4,1.3,-1.8,4.9,-0.1,0.4,0,,,,,-4.8
2.7,0.06,3.3,1.1,-0.3,3.5,0.1,-0.2,-0.1,,,,,-6.2
2.75,0.05,5.3,1.6,-1.4,5.7,-0.1,-0.6,-0.2,,,,,-4
2.8,0.02,12.5,1.6,-0.9,12.7,0.1,-1.1,-0.3,,,,,3
2.85,0,24.6,4.7,-12.6,28,0.4,-2.2,-0.7,,,,,18.3
2.9,-0.06,44.5,8.1,-25.3,51.8,1.1,1.9,0.1,,,,,42.1
2.95,0.02,21.1,6.9,-5.7,22.9,0.7,5.9,1.4,,,,,13.2
3,0.08,1.1,2.4,-2.9,3.9,-1.3,0.7,1.2,,,,,-5.8
3.05,0.11,-14.1,4.1,-6.5,16.1,0.8,4.1,-0.5,,,,,6.4
3.1,0.06,6.7,-2.2,5.5,9,0.6,-5.1,-0.4,,,,,-0.7
3.15,0.06,2.5,-4,-0.8,4.7,-1,2.4,0.4,,,,,-5
3.2,0.07,-2.5,0.4,1.3,2.9,-0.9,0.3,0,,,,,-6.8
3.25,0.06,0,0,0.9,0.9,0.3,-2,-0.1,,,,,-8.8
3.3,0.06,1.1,0.3,-1.2,1.6,-0.4,0,0.1,,,,,-8.1
3.35,0.06,-0.4,-0.2,0.6,0.7,0.1,0.7,0,,,,,-9
3.4,0.07,-0.7,0.2,0.1,0.7,-0.1,-0.4,0.1,,,,,-9
3.45,0.07,-0.4,0.7,-0.8,1.1,0,-0.7,0.1,,,,,-8.6
3.5,0.06,1.6,4.6,-0.9,4.9,0.9,-0.7,-0.5,,,,,-4.8
3.55,-0.15,74.7,10.3,-44.7,87.7,1.6,-14.1,-3.6,,,,,78
3.6,0.01,9.7,2.9,-8.3,13.1,0.1,10.9,0.1,,,,,3.4
3.65,0.02,16.4,2.7,0.6,16.7,-0.9,-3.3,0.8,,,,,7
3.7,0.05,7.1,1.1,-8.1,10.8,-0.3,2,0.7,,,,,1.1
3.75,0.07,-3.2,1,3.5,4.8,-0.1,5.4,0,,,,,-4.9
3.8,0.05,1.4,0.9,-0.8,1.8,0.2,-3.7,-0.2,,,,,-7.9
3.85,0.03,8.5,3.7,-6.5,11.3,-0.5,-1.9,-0.5,,,,,1.6
3.9,0.03,12.8,3.2,-4.3,13.9,0.7,0.2,-0.6,,,,,4.2
3.95,0.04,9.9,0.7,-1,10,-0.5,0.8,0.2,,,,,0.3
4,0.03,9.8,1.7,-1.8,10.1,0.3,-0.3,0.1,,,,,0.4
4.05,0.04,8.5,2.4,-2.1,9,-0.2,0.2,0.1,,,,,-0.7
4.1,0.04,9,1.6,-1.8,9.3,-0.2,-0.5,0,,,,,-0.4
4.15,0.04,8.5,2,-2.3,9,-0.3,0.1,0.1,,,,,-0.7
4.2,0.04,6.9,2.6,-1.4,7.5,-0.2,0,0,,,,,-2.2
4.25,0.05,3.4,0.5,-0.1,3.5,-1,0.5,-0.1,,,,,-6.2
4.3,0.06,1.7,0,-0.6,1.8,0.1,-0.7,-0.5,,,,,-7.9
4.35,0.03,9,3.2,0.1,9.5,0.8,-2,-0.8,,,,,-0.2
4.4,0.02,14.6,3.2,-6.1,16.1,0.2,-2.2,-0.7,,,,,6.4
4.45,-0.03,34.6,7.9,-19.9,40.7,0.1,-3.8,-0.1,,,,,31
4.5,-0.04,34.7,7.6,-15.9,38.9,1.3,4.8,0.4,,,,,29.2
4.55,0.03,15.5,6.2,-11.5,20.3,0.3,2.3,1.7,,,,,10.6
4.6,0.11,-6.6,1.8,-7,9.8,-0.8,3.6,1.3,,,,,0.1
4.65,0.06,-14.2,5,-0.8,15.1,-0.9,-3.1,-0.8,,,,,5.4
4.7,0.06,9.5,0,-7.6,12.2,0.6,-2.5,0.4,,,,,2.5
4.75,0.08,-2.2,-4.4,2.7,5.6,0.5,5.8,0.7,,,,,-4.1
4.8,0.07,-1.6,0.2,1.5,2.2,-0.6,-3.8,-0.1,,,,,-7.5
4.85,0.06,2.2,-0.3,-1.8,2.9,0,-1.7,-0.2,,,,,-6.8
4.9,0.06,0.4,-0.1,0.3,0.5,0,1.8,0.2,,,,,-9.2
4.95,0.07,-1.2,-9.70E-05,0.2,1.3,0.3,1.4,0.1,,,,,-8.4
5,0.07,-0.9,0.7,-0.6,1.3,0.2,-1.3,0.1,,,,,-8.4
5.05,0.07,0.5,2.4,1.3,2.8,0.4,-1.2,-0.4,,,,,-6.9
5.1,-0.02,15.4,6.1,-15.6,22.7,-1.1,-10.5,-2.4,,,,,13
5.15,-0.02,41.8,6.2,-45.1,61.8,-0.9,4.1,2.4,,,,,52.1
5.2,0.04,4.8,1.6,4.8,7,-1.5,9.4,1.6,,,,,-2.7
5.25,0.02,19,-2.4,-5.2,19.9,1.5,-10.4,0.4,,,,,10.2
5.3,0.04,11.5,2.2,-9.7,15.2,0.2,6.7,0.6,,,,,5.5
5.35,0.06,0.7,3.1,0.2,3.2,-0.2,3.6,0.6,,,,,-6.5
5.4,0.05,3,0.5,0.7,3.1,0.2,-3.8,0.1,,,,,-6.6
5.45,0.05,6.5,1.5,-5.3,8.5,-0.1,0.3,-0.2,,,,,-1.2
5.5,0.05,6.9,1.6,-1.5,7.2,0,0.1,-0.4,,,,,-2.5
5.55,0.03,10.9,2.1,-3.7,11.7,-0.3,-1,0,,,,,2
5.6,0.04,9.9,0.7,-3.1,10.4,0,0.6,0,,,,,0.7
5.65,0.05,8.5,1.2,-2.5,9,0,-0.1,0.1,,,,,-0.7
5.7,0.04,8.5,1.8,-3.4,9.3,0,0,0,,,,,-0.4
5.75,0.04,7.2,1.9,-2.6,7.9,-0.1,0.1,0,,,,,-1.8
5.8,0.06,3.7,1.6,-2.8,5,-0.2,0.1,0,,,,,-4.7
5.85,0.06,1.6,0.3,-0.2,1.7,0.1,0.8,-0.4,,,,,-8
5.9,0.04,2.7,1.6,0.5,3.2,0.1,-1.4,-0.8,,,,,-6.5
5.95,0,15.5,4.3,-4.7,16.8,0.5,-4.4,-0.9,,,,,7.1
